"","Session_ID","Video_ID","Colour_code","Condition","Sat_ID","Fm_ID","Time","Date","Date2","Week","Combo_lek_week","Combo_lek","Female_max_id","Total_visit_duration_all_females","Total_visit_nr_all_females","Visit_occurrence","Total_nr_display","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Female_mount_max_id","Mount_nr","Female_max_crouching_id","Crouching_nr","Copulation_attempt","Copulation_nr","Total_successful_copulations","Co.display_total_nr_session","Total_copulation_nr","Co.display_total_duration_s_session","Co_disp_ord","Co_displ_occurrence","Co_disp_session","Single_display_total_duration_s_session","Single_display_to_satellite_total_nr_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Lek_codisplay_nr","Lek_codisplay_dur_s","Lek_codisplay_occ","Cop_session","Lek_hierarchy","Copulation_occurrence_successful","Copulation_occurrence","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Single_display_to_satellite_duration_mean_s_session","Single_display_to_satellite_duration_std_dev_session","Single_display_to_both_duration_mean_s_session","Single_display_to_both_duration_std_dev_session","Paired_state_duration_mean_s_session","Paired_state_duration_std_dev_session","Visits_longest_s","Session_nr"
"331","602_Fm2_a_Satellite","Lek3_2021_602_a","BlW|PP","Satellite",NA,"Fm2","a",602,28,"7a","1_Lek3_7a","1_Lek3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"332","602_Fm2_a_Satellite","Lek3_2021_602_a","GLb|GY","Satellite",NA,"Fm2","a",602,28,"7a","1_Lek3_7a","1_Lek3",2,1200.354,12,1,6,0,0,0,1,1,1,1,1,2,38,3,2,1,26,2,1542,1,1,1,175,0,0,0,1,1797.85,7,106.748,1,2,1,1,1,18.55,47.2,NA,NA,NA,NA,1797.85,NA,395.8,1
"333","602_Fm2_a_Satellite","Lek3_2021_602_a","GO|LbY","Satellite",NA,"Fm2","a",602,28,"7a","1_Lek3_7a","1_Lek3",1,35.809,1,1,3,0,0,0,0,1,0,1,4,1,7,5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,35.8,1
"334","602_Fm2_m_Satellite","Lek3_2021_602_m","BlW|PP","Satellite",NA,"Fm2","m",602,28,"7m","1_Lek3_7m","1_Lek3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"335","602_Fm2_m_Satellite","Lek3_2021_602_m","GLb|GY","Satellite",NA,"Fm2","m",602,28,"7m","1_Lek3_7m","1_Lek3",2,349.44,6,1,6,0,0,0,0,1,0,0,0,1,7,1,1,1,75,1,1665,1,1,1,70,0,0,0,1,1794.504,1,1241.007,1,2,1,1,1,4.7,3.5,NA,NA,NA,NA,1794.5,NA,191.1,1
"336","602_Fm2_m_Satellite","Lek3_2021_602_m","GO|LbY","Satellite",NA,"Fm2","m",602,28,"7m","1_Lek3_7m","1_Lek3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"337","603_Fm1_a_Marginal","Lek1_2021_603_a","DbLb|LbY","Marginal",NA,"Fm1","a",603,29,"7a","1_Lek1_7a","1_Lek1",1,75.176,3,1,5,0,0,0,0,4,0,0,0,1,1,4,4,4,0,4,0,NA,0,0,1755,0,0,0,0,0,0,0,0,1,1,1,1,16.18,16.94,NA,NA,NA,NA,NA,NA,49.9,1
"338","603_Fm1_a_Marginal","Lek1_2021_603_a","RG|LbDb","Marginal",NA,"Fm1","a",603,29,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"339","603_Fm1_a_Marginal","Lek1_2021_603_a","XO|XX","Marginal",NA,"Fm1","a",603,29,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"340","603_Fm1_m_Marginal","Lek1_2021_603_m","DbLb|LbY","Marginal",NA,"Fm1","m",603,29,"7m","1_Lek1_7m","1_Lek1",1,85.115,5,1,6,0,0,0,0,4,0,2,2,2,7,6,4,4,0,4,0,NA,0,0,1728,0,0,0,0,0,0,0,0,1,1,1,1,26.85,28.8,NA,NA,NA,NA,NA,NA,24.4,1
