"","Colour_code","Condition","Week","Fm_ID","Combo_lek_week","Combo_lek","Session_nr","Female_max_id","Total_visit_duration_all_females","Total_visit_nr_all_females","Visits_longest_s","Visit_occurrence","Total_nr_display","Combo_display_rank","Combo_co_disp_rank","Co_disp_score","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Mount_nr","Crouching_nr","Copulation_attempt","Copulation_nr","Total_successful_copulations","Co.display_total_nr_session","Co.display_total_duration_s_session","Co.display_total_duration_s_session2","Single_display_total_duration_s_session","Single_display_to_satellite_total_nr_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Co_displ_occurrence","Copulation_occurrence_successful","Copulation_occurrence","Co_disp_session","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Chasings_total","Chasings_res","Chasings_sat","Chasings_marg","Attacks_total","Attacks_res","Attacks_sat","Attacks_marg","Approaches","Fight_dur_s","Aggression_res_total","Aggression_sat_total","Aggression_total","Aggression_res_attack_approach","Aggression_attack_approach_total","Combo_lek_repeat"
"21","DbLb|LbY","Marginal","7","Fm1","1_Lek1_7","1_Lek1",3,4,401.386,14,127,3,18,1,1,0,1,0,0,0,18,1,5,25,24,19,18,0,0,1968,4948,0,0,0,0,0,0,3,3,0,79.35,96.99,72,68,0,4,1,1,0,0,0,0,69,0,73,1,1,1
"22","DbLb|LbY","Satellite","7","Fm1","1_Lek1_7","1_Lek1",3,0,0,0,0,0,18,1,1,3,0,0,0,0,0,0,0,0,0,0,0,77,1968,1968,3163,1,0,0,3,5256.943,3,0,0,3,82.305,100.86,84,82,2,0,2,2,0,0,0,0,84,2,86,2,2,1
"23","DbLb|DbP","Marginal","6","Fm2","2_Lek3_6","2_Lek3",3,3,1172.293,15,461.7,2,18,1,1,0,0,0,0,0,2,0,2,42,4,2,2,0,0,1434,5027,0,0,0,0,0,0,1,1,0,50.06,48.96,103,88,0,15,1,0,0,1,4,3.32,92,0,108,4,5,2
"24","DbLb|DbP","Satellite","6","Fm2","2_Lek3_6","2_Lek3",3,8,2236.328,40,263.8,3,18,1,1,2,0,0,1,1,3,2,4,37,9,5,3,116,1434,1434,3477,0,0,0,3,5086.33,3,2,2,3,79.265,83.365,55,55,0,0,3,3,1,0,25,92.52,83,1,83,28,28,2
"25","DbLb|DbP","Marginal","4","Fm2","2_Lek3_4","2_Lek3",3,9,2132.308,33,524.7,3,18,1,1,0,0,0,0,0,10,0,1,32,11,10,10,0,0,1251,4950,0,0,0,0,0,0,2,2,0,81.3,75.31,33,30,0,3,0,0,0,0,8,102.513,38,0,41,8,8,1
"26","DbLb|DbP","Satellite","4","Fm2","2_Lek3_4","2_Lek3",3,14,3574.057,67,896.8,3,18,1,1,2,0,0,0,1,5,1,5,53,11,6,5,75,1251,1251,4033,2,4,72.405,13,2082.135,3,2,2,3,69.2966666666667,104.01,100,92,8,0,10,7,3,0,15,26.678,114,11,125,22,25,1
"27","GO|LbY","Satellite","3","Fm1","3_Lek1_3","3_Lek1",3,1,50.441,7,15,1,17,1,1,2,0,0,0,0,0,0,0,0,0,0,0,79,1217,1217,3634,30,11,405.094,20,1813.348,3,0,0,3,99.5916666666667,53.4516666666667,65,65,0,0,2,2,0,0,7,12.41,74,0,74,9,9,1
"28","GO|LbY","Marginal","3","Fm1","3_Lek1_3","3_Lek1",3,0,0,0,0,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,5236,0,0,0,0,0,0,0,0,0,169.03,230.44,34,33,0,1,2,2,0,0,10,16.559,45,0,46,12,12,1
"29","GLb|GY","Satellite","3","Fm1","3_Lek2_3","3_Lek2",3,0,0,0,0,0,10,2,1,2,0,0,0,0,0,0,0,0,0,0,0,16,1049,1049,3200,26,6,269.516,6,1381.967,2,0,0,2,99.2375,123.2675,13,13,0,0,0,0,0,0,2,6.998,15,0,15,2,2,1
"30","GLb|GY","Marginal","3","Fm1","3_Lek2_3","3_Lek2",3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,2053,0,0,0,0,0,0,0,0,0,384.79,379.6,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1
"31","GLb|GY","Marginal","6","Fm1","2_Lek1_6","2_Lek1",3,3,618.981,12,274.3,3,15,2,1,0,0,0,0,0,12,0,13,32,25,12,12,0,0,949,4886,0,0,0,0,0,0,3,3,0,423.62,442.57,13,13,0,0,2,2,0,0,8,20.199,23,0,23,10,10,2
"32","GLb|GY","Satellite","6","Fm1","2_Lek1_6","2_Lek1",3,3,349.728,8,209.4,2,13,2,1,2,0,0,0,0,4,0,0,10,4,4,4,19,949,949,2807,12,2,115.5,2,802.546,1,1,1,2,107.945,114.755833333333,8,8,0,0,1,0,1,0,5,10.96,13,1,14,5,6,2
"33","ODb|YDb","Marginal","5","Fm2","3_Lek3_5","3_Lek3",3,9,2104.748,39,473.4,3,18,1,1,0,0,0,0,0,0,0,3,10,3,0,0,0,0,926,3283,0,0,0,0,0,0,0,0,0,529.06,880.5,22,18,0,4,0,0,0,0,1,0.32,19,0,23,1,1,2
"34","ODb|YDb","Satellite","5","Fm2","3_Lek3_5","3_Lek3",3,10,3215.45,47,583.4,3,16,1,1,1,0,0,0,0,2,0,7,32,9,2,2,55,926,926,3931,5,0,0,5,1258.09,3,1,1,3,253.875,690.01,52,49,3,0,3,2,2,0,0,0,51,5,55,2,3,2
"35","DbLb|RLb","Marginal","6","Fm1","2_Lek1_6","2_Lek1",3,0,0,0,0,0,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,3480,0,0,0,0,0,0,0,0,0,257.94,370.27,25,25,0,0,1,1,0,0,16,78.022,42,0,42,17,17,2
"36","DbLb|RLb","Satellite","6","Fm1","2_Lek1_6","2_Lek1",3,0,0,0,0,0,17,1,2,1,0,0,0,0,0,0,0,0,0,0,0,31,832,832,2649,0,0,0,2,1914.99,2,0,0,2,108.665,139.53,14,14,0,0,1,1,0,0,8,26.143,23,0,23,9,9,2
"37","ODb|YG","Satellite","6","Fm1","2_Lek2_6","2_Lek2",3,0,0,0,0,0,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,28,739,739,2557,1,0,0,2,2223.519,2,0,0,2,63.59,75.62,47,47,0,0,0,0,0,0,9,15.767,56,0,56,9,9,2
"38","ODb|YG","Marginal","6","Fm1","2_Lek2_6","2_Lek2",3,0,0,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,9,0,0,0,0,5,8.84,32,0,41,5,5,2
"39","ODb|YDb","Satellite","6","Fm2","2_Lek3_6","2_Lek3",3,3,671.88,7,300.4,2,17,3,2,1,0,0,0,0,1,0,0,2,1,1,1,37,699,699,2765,17,0,0,2,1060.399,3,1,1,3,84.85,78.1625,4,4,0,0,0,0,0,0,6,41.612,10,0,10,6,6,2
"40","ODb|YDb","Marginal","6","Fm2","2_Lek3_6","2_Lek3",3,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,3185,2,0,0,0,0,0,0,0,0,39.8,41.125,11,0,0,11,1,0,0,1,1,0.84,1,0,13,1,2,2
"41","DbLb|RLb","Marginal","4","Fm1","2_Lek1_4","2_Lek1",3,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,5201,0,0,0,0,0,0,0,0,0,191.83,264.32,34,34,0,0,5,5,0,0,3,18.519,42,0,42,8,8,1
