"","X","Session_ID","Video_ID","Colour_code","State","Condition","Bird_desc","Sat_ID","Fm_ID","Time","Date","Date2","Week","Combo_lek_week","Combo_lek","Female_max_id","Total_visit_nr_all_females","Visit_occurrence","Total_visit_duration_all_females","Total_nr_display","Total_nr_display_with_Sat","Total_nr_display_Res_ind","Total_nr_display_Sat_ind","Display_percentage","Female_cop_max_id","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Female_mount_max_id","Mount_nr","Female_max_crouching_id","Crouching_nr","Copulation_attempt","Copulation_nr","Copulation_occurrence_successful","Copulation_occurrence","Total_successful_copulations","Total_copulation_nr","Total_copulation_occurrence","Total_nr_display_30","Visits_longest_s","Lek_hierarchy","Co.display_total_nr_session","Co.display_total_duration_s_session","Co.display_duration_mean_s_session","Co.display_duration_std_dev_session","Single_display_total_nr_session","Single_display_total_duration_s_session","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Single_display_to_female_total_nr_session","Single_display_to_female_total_duration_s_session","Single_display_to_female_duration_mean_s_session","Single_display_to_female_duration_std_dev_session","Single_display_to_satellite_total_nr_session","Single_display_to_satellite_total_duration_s_session","Single_display_to_satellite_duration_mean_s_session","Single_display_to_satellite_duration_std_dev_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Single_display_to_both_duration_mean_s_session","Single_display_to_both_duration_std_dev_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Paired_state_duration_mean_s_session","Paired_state_duration_std_dev_session","Lek_codisplay_nr","Lek_codisplay_dur_s","Lek_codisplay_occ","Cop_session","Aggression_total","Fight_dur_s","Subject","Behavior"
"436",436,"530_Fm1_a_Satellite","Lek1_2021_530_a","RG|LbDb","Paired","Satellite","white",NA,"Fm1","a",530,25,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"437",437,"530_Fm1_a_Satellite","Lek1_2021_530_a","RG|LbDb","Unpaired","Satellite","white",NA,"Fm1","a",530,25,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA
"438",438,"530_Fm1_a_Satellite","Lek1_2021_530_a","XO|XX","Paired","Satellite","black/grey/beige",NA,"Fm1","a",530,25,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"439",439,"530_Fm1_a_Satellite","Lek1_2021_530_a","XO|XX","Unpaired","Satellite","black/grey/beige",NA,"Fm1","a",530,25,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA
"440",440,"530_Fm1_m_Satellite","Lek1_2021_530_m","DbLb|LbY","Paired","Satellite","black/red face",NA,"Fm1","m",530,25,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,3,6,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,1,21,790,38,40.47,21,894,42.58,44.9,21,894.209,42.58,44.9,NA,NA,NA,NA,NA,NA,NA,NA,1,1794.774,1794.77,NA,NA,NA,NA,0,NA,NA,NA,NA
"441",441,"530_Fm1_m_Satellite","Lek1_2021_530_m","DbLb|LbY","Unpaired","Satellite","black/red face",NA,"Fm1","m",530,25,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,3,3,0,NA,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,NA,NA,NA,NA,1,6,6.26,NA,NA,NA,NA,NA,1,6.255,6.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,40,0,NA,NA
"442",442,"530_Fm1_m_Satellite","Lek1_2021_530_m","RG|LbDb","Paired","Satellite","white",NA,"Fm1","m",530,25,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"443",443,"530_Fm1_m_Satellite","Lek1_2021_530_m","RG|LbDb","Unpaired","Satellite","white",NA,"Fm1","m",530,25,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,1,1,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0.455,NA,NA
"444",444,"530_Fm1_m_Satellite","Lek1_2021_530_m","XO|XX","Paired","Satellite","black/grey/beige",NA,"Fm1","m",530,25,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"445",445,"530_Fm1_m_Satellite","Lek1_2021_530_m","XO|XX","Unpaired","Satellite","black/grey/beige",NA,"Fm1","m",530,25,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,1,1,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,11,0,NA,NA
